fecha,tipo,precio_eur_kg
2025-04-21,lampante_picual,3.0
2025-04-23,lampante_picual,3.0
2025-04-24,lampante_picual,3.008
2025-04-25,lampante_picual,2.925
2025-05-06,lampante_picual,2.763
2025-05-07,lampante_picual,2.72
2025-05-08,lampante_picual,2.725
2025-05-12,lampante_picual,2.638
2025-05-16,lampante_picual,2.716
2025-05-19,lampante_picual,2.76
2025-05-20,lampante_picual,2.783
2025-05-21,lampante_picual,2.75
2025-05-22,lampante_picual,2.74
2025-05-23,lampante_picual,2.735
2025-05-26,lampante_picual,2.763
2025-05-27,lampante_picual,2.769
2025-05-28,lampante_picual,2.75
2025-05-29,lampante_picual,2.737
2025-05-30,lampante_picual,2.767
2025-06-02,lampante_picual,2.769
2025-06-03,lampante_picual,2.75
2025-06-04,lampante_picual,2.75
2025-06-05,lampante_picual,2.763
2025-06-06,lampante_picual,2.796
2025-06-09,lampante_picual,2.813
2025-06-10,lampante_picual,2.833
2025-06-11,lampante_picual,2.84
2025-06-12,lampante_picual,2.817
2025-06-13,lampante_picual,2.792
2025-06-16,lampante_picual,2.783
2025-06-17,lampante_picual,2.792
2025-06-18,lampante_picual,2.791
2025-06-19,lampante_picual,2.799
2025-06-20,lampante_picual,2.8
2025-06-23,lampante_picual,2.805
2025-06-24,lampante_picual,2.806
2025-06-25,lampante_picual,2.825
2025-06-26,lampante_picual,2.84
2025-06-30,lampante_picual,2.858
2025-07-01,lampante_picual,2.915
2025-07-02,lampante_picual,2.938
2025-07-03,lampante_picual,3.016
2025-07-04,lampante_picual,3.019
2025-07-07,lampante_picual,3.025
2025-07-08,lampante_picual,3.0
2025-07-09,lampante_picual,2.98
2025-07-10,lampante_picual,2.963
2025-07-11,lampante_picual,2.95
2025-07-14,lampante_picual,2.953
2025-07-15,lampante_picual,2.95
2025-07-16,lampante_picual,2.938
2025-07-17,lampante_picual,2.957
2025-07-18,lampante_picual,2.955
2025-07-21,lampante_picual,2.975
2025-07-22,lampante_picual,2.94
2025-07-23,lampante_picual,2.975
2025-07-24,lampante_picual,2.963
2025-07-25,lampante_picual,2.981
2025-07-28,lampante_picual,2.967
2025-07-29,lampante_picual,2.992
2025-07-30,lampante_picual,3.0
2025-07-31,lampante_picual,3.0
2025-08-01,lampante_picual,3.033
2025-08-04,lampante_picual,3.046
2025-08-05,lampante_picual,3.05
2025-08-06,lampante_picual,3.062
